v10, 2700, 长虹V10
ztev965, 2000, zteV965
tcly910, 3400, TCL Y910
sonyericssonlt18i, 1500, sonyericssonLT18i(Xperia arc S)
d910t, 1500, 朵唯D910T
hikephantom2, 2200, HIKe PHANTOM 2
samsungs5830, 1350, samsungS5830(GALAXY Ace)
coolpad7266, 1500, coolpad7266
k-touchu7, 1600, k-touchU7
gioneegn360, 1500, gioneeGN360
lenovophonea530, 1500, lenovo A530
runbox5, 3800, Runbo X5(联通版)
a790t, 1700, 酷比智青春A790T
meizumx2re32gb, 1800, meizuMX2 RE认证版 32GB
meizumx2td, 1750, meizuMX2 TD(64GB)
x7, 1800, 现代X7加强版
