alps-s600,		alps  g4  ,					1850
alps-s600s,		alps  g4  ,					1850
alps-s6102,		alps  t1 ,					1050
alps-s800_ae902,		alps  g4  ,					1850
alps-s901,		alps  g4  ,					1850
alps-sa-i960,		alps  g4  ,					1850
alps-shma s1000,		alps  t1 ,					1050
alps-shma-s2000,		alps  g2 ,					2050
alps-sop-g926,		alps  g4  ,					1850
alps-sop-g928,		alps  g4  ,					1850
alps-sop-g998-2,		alps  g4  ,					1850
alps-sop-w168,		alps  t1 ,					1050
alps-subor_eari,		alps  g4  ,					1850
alps-simtelep q68,		alps  g4  ,					1850
alps-t29,		alps  t1 ,					1050
alps-t33333,		alps  t1 ,					1050
alps-t5966,		alps  t1 ,					1050
alps-t5s,		alps  t1 ,					1050
alps-t666,		alps  t1 ,					1050
alps-t8100,		alps  t1 ,					1050
alps-t9,		alps  t1 ,					1050
alps-t900,		alps  t1 ,					1050
alps-t9300i,		alps  t1 ,					1050
alps-t9555,		alps  t1 ,					1050
alps-t9989,		alps  t1 ,					1050
alps-tcl j320t,		alps  g3  ,					2750
alps-td300,		alps  t1 ,					1050
alps-td800,		alps  t1 ,					1050
alps-te600-h,		alps  t1 ,					1050
alps-telsda-3696,		alps  g3  ,					2750
alps-tetc g16,		alps  g1 ,					1350
alps-tetc-w318,		alps  g3  ,					2750
alps-tianpin unt988,		alps  t1 ,					1050
alps-tooky a19plus,		alps  t1 ,					1050
alps-tooky t1982,		alps  t1 ,					1050
alps-tooky t1992,		alps  t1 ,					1050
alps-tooky t88,		alps  t1 ,					1050
alps-tsc z10,		alps  t1 ,					1050
alps-tsc z9,		alps  g4  ,					1850
alps-tx300,		alps  t1 ,					1050
alps-tensent s9000,		alps  g4  ,					1850
alps-u-81,		alps  g4  ,					1850
alps-u16,		alps  t1 ,					1050
alps-u55gt,		alps  g4  ,					1850
alps-u701,		alps  g4  ,					1850
alps-u701t,		alps  g4  ,					1850
alps-u705t,		alps  g4  ,					1850
alps-u8,		alps  g4  ,					1850
alps-u802,		alps  g4  ,					1850
alps-u930,		alps  g3  ,					2750
alps-u930b,		alps  g3  ,					2750
alps-u980a,		alps  g4  ,					1850
alps-upad u 98s,		alps  g4  ,					1850
alps-v.land ex350,		alps  g3  ,					2750
alps-v1268,		alps  g2 ,					2050
alps-v3,		alps  g3  ,					2750
alps-v61,		alps  t1 ,					1050
alps-v610a,		alps  t1 ,					1050
alps-v62a,		alps  g2 ,					2050
alps-v88,		alps  g4  ,					1850
alps-v930,		alps  g3  ,					2750
alps-v936,		alps  g3  ,					2750
alps-v957,		alps  g4  ,					1850
alps-v973,		alps  g4  ,					1850
alps-v981,		alps  g4  ,					1850
alps-v985,		alps  g4  ,					1850
alps-vb 920,		alps  g2 ,					2050
alps-vb910,		alps  g4  ,					1850
alps-vb950,		alps  g4  ,					1850
alps-vb_i5,		alps  g4  ,					1850
alps-vinus v6,		alps  g4  ,					1850
alps-vinus-v6,		alps  g4  ,					1850
alps-voto-j5218,		alps  g4  ,					1850
alps-vow v5,		alps  g4  ,					1850
alps-victory_a18,		alps  t1 ,					1050
alps-victory_s3,		alps  g3  ,					2750
alps-w105,		alps  t1 ,					1050
alps-w109,		alps  t1 ,					1050
alps-w58sx,		alps  g4  ,					1850
alps-w6100,		alps  t1 ,					1050
alps-w686,		alps  g4  ,					1850
alps-w7200,		alps  g2 ,					2050
alps-w80,		alps  g4  ,					1850
alps-w88,		alps  g4  ,					1850
alps-w900,		alps  g4  ,					1850
alps-w960,		alps  g4  ,					1850
alps-w970,		alps  g4  ,					1850
alps-w990,		alps  g4  ,					1850
alps-w99c,		alps  g4  ,					1850
alps-wg509,		alps  g4  ,					1850
alps-wp-w16,		alps  t1 ,					1050
alps-x2,		alps  x1 ,					2400
alps-x4,		alps  x1 ,					2400
alps-x5,		alps  x1 ,					2400
alps-x8 note,		alps  x1 ,					2400
alps-x9,		alps  x1 ,					2400
alps-xind xd6s,		alps  x1 ,					2400
alps-y210,		alps  g2 ,					2050
alps-yc800,		alps  g4  ,					1850
alps-yepen p666,		alps  g4  ,					1850
alps-yoord d166,		alps  t1 ,					1050
alps-yoord d599,		alps  g4  ,					1850
alps-yoord d766,		alps  g4  ,					1850
alps-yp v610,		alps  t1 ,					1050
alps-ytone s3a,		alps  g3  ,					2750
alps-ytone s3c,		alps  g3  ,					2750
alps-z1,		alps  t1 ,					1050
alps-z1898,		alps  t1 ,					1050
alps-zivi i8550,		alps  g4  ,					1850
alps-zoye v16s,		alps  t1 ,					1050
alps-zp100,		alps  t1 ,					1050
alps-zp900,		alps  g4  ,					1850
alps-zte u819,		alps  t1 ,					1050
alps-zte u956,		alps  g4  ,					1850
alps-aomor i8,		alps  g4  ,					1850
alps-cayon q1,		alps  t1 ,					1050
alps-chuangyi,		alps  g4  ,					1850
alps-crave s5a,		alps  g4  ,					1850
alps-e1808_v75_jbl1,		alps  t1 ,					1050
alps-e1815_lbx1,		alps  t1 ,					1050
alps-e1901_v77_gq2008,		alps  t1 ,					1050
alps-e1901_v77_jbl1_9p017,		alps  t1 ,					1050
alps-e1911_v77_gq2000_ov5647,		alps  t1 ,					1050
alps-eidolon15_nand_gb2,		alps  t1 ,					1050
alps-epade a360s,		alps  g3  ,					2750
alps-epade a7,		alps  g4  ,					1850
alps-epade v05,		alps  g4  ,					1850
alps-fulinpengda,		alps  g4  ,					1850
alps-hexing15_6626_gb2,		alps  g1 ,					1350
alps-i 6,		alps  g4  ,					1850
alps-i9,		alps  g4  ,					1850
alps-i90,		alps  g4  ,					1850
alps-i9220,		alps  g2 ,					2050
alps-i9500,		alps  g4  ,					1850
alps-iphone 4s,		alps  g4  ,					1850
alps-iphone5,		alps  g4  ,					1850
alps-iphone_4s,		alps  g4  ,					1850
alps-itouch-t3,		alps  g3  ,					2750
alps-imatch i26,		alps  g2 ,					2050
alps-intki e96,		alps  g4  ,					1850
alps-intkie93,		alps  g4  ,					1850
alps-iphone 5,		alps  g4  ,					1850
alps-iphone,		alps  g4  ,					1850
alps-jinhuacheng,		alps  g4  ,					1850
alps-kliton i30,		alps  g3  ,					2750
alps-magcomm77_cu_ics2,		alps  g4  ,					1850
alps-magcomm89_ics2,		alps  g4  ,					1850
alps-n920,		alps  g2 ,					2050
alps-newish v158,		alps  t1 ,					1050
alps-shiyu,		alps  g4  ,					1850
alps-signal75_gb2,		alps  g4  ,					1850
alps-signal75_ics,		alps  g4  ,					1850
alps-simdo_d96,		alps  g4  ,					1850
alps-uphone,		alps  g4  ,					1850
alps-v89_gq2008s,		alps  g4  ,					1850
alps-v89_zlh_hd,		alps  g4  ,					1850
alps-vanzo77_ics2,		alps  g4  ,					1850
alps-xiaomi2,		alps  g2 ,					2050
alps-↗卟散唯爱baby?,		alps  g4  ,					1850
alps-大显 x920,		alps  x1 ,					2400
alps-大显16,		alps  t1 ,					1050
alps-小宇宙 ×1,		alps  g4  ,					1850
alps-联想a830,		alps  g3  ,					2750
amazon-kfjwi,		lge lg kf300 ,					800
amazon-kfot,		lge lg kf300 ,					800
amazon-kftt,		lge lg kf300 ,					800
amlogic-k1,		newsmy  k1 ,					2500
amoi-amoi a860w,		 amoi a860w v ,					2800
amoi-amoi e700c,		 amoi e600t ,					1300
amoi-amoi m8228,		 amoi n828 v ,					2050
amoi-amoi n807,		 amoi n806 ,					1500
amoi-amoi n808,		 amoi n88 ,					600
amoi-amoi n809,		 amoi n890 v ,					2100
amoi-amoi n816,		 amoi n816(v) ,					1500
amoi-amoi n820,		 amoi n820(v) ,					2050
amoi-amoi n821,		 amoi v n821 ,					2050
amoi-amoi n828,		 amoi n828 v ,					2050
amoi-amoi n89,		 amoi n89 ,					1500
amoi-amoi n890,		 amoi n890 v ,					2100
amoi-amoi_n89,		 amoi n89 ,					1500
amoi-lenovo a830,		 amoi a860w v ,					2800
amoi-n828_r&a-7yu_20130409_http://rom.7zi.cn,		 amoi n828 v ,					2050
ampe-a79q,		 lenovo a789 ,					2000
android-a301c,		htc  a315c() ,					1300
android-a800,		 gionee a800 ,					1400
android-a9,		 opsson a9 ,					1000
android-aux v926t,		 aux v926t ,					1500
android-android(mt6589/4核),		 aux m689+ ,					1250
android-d9,		 doov ieva d9 ,					1800
android-g7,		htc  desire g7 ,					1400
android-g9c,		 dec g9 ,					1200
android-g9c_gc,		 dec g9 ,					1200
android-g9c_jlf2,		 dec g9 ,					1200
android-g9c_jlf4,		 dec g9 ,					1200
android-g9c_lx,		 dec g9 ,					1200
android-gipo-t200,		k-touch  t200 ,					1100
android-jy805,		oppo  r805 ,					1400
android-konka v920,		 konka v920 ,					1650
android-l8109,		 others l10 ,					1300
android-l8303,		 nokia 830 ,					1650
android-lh801,		 gionee h80 ,					1300
android-m7s,		 dec m7 ,					1100
android-n505,		 minte n505 ,					1500
android-s2,		 lenovo  s2() ,					1500
android-td999,		htc  t9199() ,					1500
android-upoo_u2,		 hosin u2 ,					1500
android-x3,		 changhong x3 ,					1500
android-x7,		 hyundai x7 ,					1800
android-x810i,		 ccpo x810 ,					1300
android-x910,		 motorola droid razr xt910() ,					1780
android-xl_m6,		 bestsonny m6 ,					1000
android-it319td,		 elitek eit6019 ,					600
aole b-aole 616 b,		 fadar 616 ,					650
aoson-m30q,		 desay m300 ,					550
aoson-aoson m33,		 xiaomi m3  ,					3050
apple-iphone 5,		 apple iphone 5s  32gb ,					1440
archos-archos 80 cobalt,		 archos 50 platinum ,					2000
archos-archos 97 carbon,		 archos 35 carbon ,					1300
archos-archos 53 platinum,		 archos 53 platinum ,					2800
arnova-arnova 90g3,		 nokia 909 ,					2000
as-t103,		 asus t10 ,					1270
as-v13,		k-touch  treasure v8 ii ,					1820
asus-asus a80,		 asus padfone infinity a80 64gb ,					2400
asus-asus t20,		 asus t20 ,					1500
asus-asus transformer pad tf300t,		 asus t10 ,					1270
asus-asus transformer pad tf700t,		 asus t10 ,					1270
asus-me171,		 asus t10 ,					1270
asus-me172v,		 asus t10 ,					1270
asus-me173x,		 asus t10 ,					1270
asus-me301t,		 asus padfone infinity a80 64gb ,					2400
asus-me371mg,		 asus new padfone infinity 32gb ,					2400
asus-nexus 7,		 asus padfone 2 64gb ,					2140
asus-padfone 2,		 asus padfone 2 64gb ,					2140
asus-padfone infinity,		 asus padfone infinity a80 64gb ,					2400
asus-padfone,		 asus padfone infinity a80 64gb ,					2400
asus-transformer prime tf201,		 asus t20 ,					1500
asus-transformer tf101,		 asus t10 ,					1270
asus-transformer tf101g,		 asus t10 ,					1270
aux-m910a,		 aux m910+ ,					1500
aux-v900a,		 aux v900 ,					1400
aux-v926b,		 aux v926 ,					1500
aux-v926d,		 aux v926 ,					1500
aux-v929b,		 aux v929 ,					1800
aux-v988aw,		 aux v988 ,					1800
aux-v990,		 aux v990  ,					1930
awio-awio_x800,		 motorola xt800 ,					1390
baidu-amoi n816,		 amoi n816(v) ,					1500
baidu-coolpad 5890,		yulong coolpad 5890 ,					1700
baidu-desire s,		 hisense  ,					2000
baidu-full aosp on maguro,		 panasonic eluga power ,					1800
baidu-gt-i9300,		 samsung m gt-i9300 ,					2100
baidu-gt-n7000,		 hesens n700 ,					1400
baidu-gionee gn180,		 gionee gn180 ,					2500
baidu-htc desire hd,		htc  desire l ,					1800
baidu-htc s720e,		htc  one x s720e ,					1800
baidu-htc t328d,		htc   t328w ,					1650
baidu-htc t328t,		htc   t328w ,					1650
baidu-htc t328w,		htc   t328w ,					1650
baidu-huawei c8812,		 huawei c8812 ,					1350
baidu-huawei c8812e,		 huawei c8812e ,					1500
baidu-huawei c8812e-jelly bean,		 huawei c8812e ,					1500
baidu-huawei c8813,		 huawei c8813 ,					1700
baidu-huawei c8813d,		 huawei c8813d  ,					1700
baidu-huawei c8813q,		 huawei c8813q ,					1700
baidu-huawei c8815,		 huawei c8815 ,					2100
baidu-huawei c8825d,		 huawei c8826d ,					1930
baidu-huawei c8950d,		yulong coolpad 8950 ,					1900
baidu-huawei g520-5000,		 huawei ascend g520 ,					1700
baidu-huawei u8800 pro,		 huawei u8800 pro ,					1500
baidu-huawei u8818,		 zte u885 ,					1650
baidu-huawei u8825d,		 zte u885 ,					1650
baidu-huawei u8860,		 huawei honor u8860  ,					1930
baidu-incredible s,		 beidou  i2c ,					1500
baidu-jiayu g3_rom,		alps  g3  ,					2750
baidu-jy-g2,		lge lg g2  ,					3000
baidu-lnv-lenovo a600e,		 lenovo  a600e ,					2500
baidu-lt26i,		 sony xperia s lt26i() ,					1750
baidu-lenovo a630t,		 lenovo a630t ,					1700
baidu-lenovo a798t,		 lenovo  a798t ,					2000
baidu-lenovo a800,		 gionee a800 ,					1400
baidu-lenovo p700i,		 lenovo  p700i ,					2500
baidu-nexus s,		newsmy   ,					1800
baidu-zte n880e,		 zte n880e ,					1650
baidu-zte v970,		 zte grand v970 ,					1600
baidu-i9250-gn,		 samsung i9502 galaxy s4 32gb ,					2600
baidu-lenovo a710e,		 lenovo  a710e ,					1500
baiducloud-100a,		 others  100a ,					1900
bbk-bbk s6t,		bbk  i6 ,					800
bbk-vivo e1,		bbk  i18 ,					800
bbk-vivo e1t,		bbk  i18 ,					800
bbk-vivo e5,		bbk  i518 ,					820
bbk-vivo s1,		bbk  i18 ,					800
bbk-vivo s11t,		bbk  k119 ,					1000
bbk-vivo s12,		bbk  v312 ,					1500
bbk-vivo s3,		bbk  i531 ,					820
bbk-vivo s3+,		bbk  i531 ,					820
bbk-vivo s6,		bbk  i6 ,					800
bbk-vivo s6t,		bbk  i6 ,					800
bbk-vivo s7,		bbk  i270 ,					800
bbk-vivo s7i(t),		bbk  i267 ,					800
bbk-vivo s7t,		bbk  i270 ,					800
bbk-vivo s7w,		bbk  i270 ,					800
