=====================start
new message format: id=50, num=10010, content=TCYL
new message format: id=51, num=10086, content=CXGPRSTC
new message format: id=52, num=10001, content=702
new message format: id=53, num=10086, content=1091
new message format: id=54, num=10086, content=话费
new message format: id=55, num=10010, content=107
new message format: id=56, num=10086, content=查流量
new message format: id=57, num=10086, content=119
new message format: id=58, num=10010, content=110
new message format: id=59, num=10010, content= 2082
new message format: id=60, num=10010, content=查询流量
new message format: id=61, num=10010, content=704
new message format: id=62, num=10010, content=7011#201309
new message format: id=63, num=10086, content=162
new message format: id=64, num=10086, content=66
new message format: id=65, num=10010, content=5142
new message format: id=66, num=10086, content=1581
new message format: id=67, num=10001, content=199
new message format: id=68, num=10086, content=102
new message format: id=69, num=10086, content=103
new message format: id=70, num=10001, content=109
new message format: id=71, num=10086, content=105
new message format: id=72, num=10086, content=17*09#
   711,(湖北鄂州)     中国联通联通3G      :   ID=59   10010,       2082
    23,(重庆重庆)     中国移动动感地带    :   ID=56   10086,      查流量
   319,(河北邢台)     中国联通联通2G      :   ID=62   10010,      7011#201309
   566,(安徽石台)     中国联通联通3G      :   ID=26   10010,      1071
   973,(青海同仁)     中国联通联通3G      :   ID=39   10010,      2082
   356,(山西晋城)     中国移动神州行      :   ID=63   10086,      162
   631,(山东威海)     中国联通联通3G      :   ID=27   10010,      412
   754,(广东汕头)     中国移动动感地带    :   ID=51   10086,      CXGPRSTC
   350,(山西忻州)     中国移动动感地带    :   ID=63   10086,      162
   597,(福建龙岩)     中国联通联通2G      :   ID=35   10010,      CXLL
    20,(广东广州)     中国移动神州行      :   ID=51   10086,      CXGPRSTC
   760,(广东中山)     中国移动全球通      :   ID=51   10086,      CXGPRSTC
   421,(辽宁朝阳)     中国移动动感地带    :   ID=57   10086,      119
   557,(安徽泗县)     中国联通联通3G      :   ID=26   10010,      1071
   668,(广东茂名)     中国移动全球通      :   ID=51   10086,      CXGPRSTC
   930,(甘肃临夏市)   中国移动全球通      :   ID=71   10086,      105
   551,(安徽长丰)     中国移动动感地带    :   ID=64   10086,      66
   773,(广西桂林)     中国移动神州行      :   ID=69   10086,      103
   427,(辽宁盘锦)     中国联通联通2G      :   ID=58   10010,      110
   563,(安徽绩溪)     中国移动全球通      :   ID=64   10086,      66
   739,(湖南邵阳)     中国联通联通3G      :   ID=39   10010,      2082
   668,(广东茂名)     中国移动动感地带    :   ID=51   10086,      CXGPRSTC
   335,(河北秦皇岛)   中国联通联通3G      :   ID=39   10010,      2082
